date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:54:07	86663/86663	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215287-16b26fe50f0%22	https://bot.emirkabal.com/altyapi/js/jquery-3.2.1.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/jquery-3.2.1.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:08	19241/19241	---MCZ	200	added ('OK')	application/javascript	etag:W/%224b29-16b26fe50f6%22	https://bot.emirkabal.com/altyapi/js/popper.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/popper.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:09	50570/50570	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c58a-16b26fe50e1%22	https://bot.emirkabal.com/altyapi/js/bootstrap.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/bootstrap.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:10	107526/107526	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a406-16b26fe50f4%22	https://bot.emirkabal.com/altyapi/js/jquery.themepunch-tools.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/jquery.themepunch-tools.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:11	62656/62656	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f4c0-16b26fe50f2%22	https://bot.emirkabal.com/altyapi/js/jquery.themepunch-revolution.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/jquery.themepunch-revolution.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:11	8901/8901	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222c5-16b26fe50e3%22	https://bot.emirkabal.com/altyapi/js/extensions/revolution.extension.actions.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/extensions/revolution.extension.actions.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:13	23869/23869	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d3d-16b26fe50e7%22	https://bot.emirkabal.com/altyapi/js/extensions/revolution.extension.video.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/extensions/revolution.extension.video.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:14	28418/28418	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f02-16b26fe50e6%22	https://bot.emirkabal.com/altyapi/js/extensions/revolution.extension.slideanims.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/extensions/revolution.extension.slideanims.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:15	50176/50176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c400-16b26fe50e5%22	https://bot.emirkabal.com/altyapi/js/extensions/revolution.extension.layeranimation.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/extensions/revolution.extension.layeranimation.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:16	26071/26071	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d7-16b26fe50e6%22	https://bot.emirkabal.com/altyapi/js/extensions/revolution.extension.navigation.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/extensions/revolution.extension.navigation.min.js	(from https://bot.emirkabal.com/komutlar)
